code,img_small_url,name,por,rrp,rt_qty,storage_type,sub_cat_code,vat,ws_qty,wsp_exl_vat
135789,https://www.booker.co.uk/bbimages/1/403b2d9b-533e-4917-8955-95f72f32ceb0.jpg,UM Oriental Platter 60 Party Piece 900g,,,900g,Frozen,CS13_200440,0,,5.49
256946,https://www.booker.co.uk/bbimages/1/5635212a-08a0-4520-969c-51e565b60e0a.jpg,Americana Vegan Brioche Style Grill Marked Bun 48 x 82g,,,48x82g,Frozen,CS13_200440,0,,12.99
228523,https://www.booker.co.uk/bbimages/1/e4051a1f-b103-4c3e-8764-f5bca5764c51.jpg,Aunt Bessie's 12 Original Golden Yorkshires 220g,25,1.85,220g,Frozen,CS13_200440,0,12,16.65
228524,https://www.booker.co.uk/bbimages/1/e4051a1f-b103-4c3e-8764-f5bca5764c51.jpg,Aunt Bessie's 12 Original Golden Yorkshires 220g,24.9,1.85,220g,Frozen,CS13_200440,0,,1.39
198246,https://www.booker.co.uk/bbimages/1/a6600796-c5d2-4f58-8f54-c5c1f1402d68.jpg,"Bakers Best 7"" Jumbo Sausage Rolls 48 Pack 4.8kg",,,48s,Frozen,CS13_200440,0,,10.49
236721,https://www.booker.co.uk/bbimages/1/aea9e944-f365-4b9f-9b1b-45c808d1ecdf.jpg,Bakers Best Beef & Vegetable Bake 24 x 155g (3.72kg),68.7,35.76,24x155g,Frozen,CS13_200440,0,,11.19
236699,https://www.booker.co.uk/bbimages/1/78af5046-d1c1-47db-b38a-b9abb22dd03e.jpg,Bakers Best Cheese & Onion Bake 24 x 155g (3.72kg),72.1,35.76,24x155g,Frozen,CS13_200440,0,,9.99
204177,https://www.booker.co.uk/bbimages/1/7a572f44-1719-4f6a-8c58-8cdd86b6eb14.jpg,Alpro Plain Yoghurt Alternative 500g,34,1.89,500g,Chilled,CS13_200420,0,6,7.49
204178,https://www.booker.co.uk/bbimages/1/7a572f44-1719-4f6a-8c58-8cdd86b6eb14.jpg,Alpro Plain Yoghurt Alternative 500g,31.8,1.89,500g,Chilled,CS13_200420,0,,1.29
184054,https://www.booker.co.uk/bbimages/1/b1e501f4-60c0-4210-ab78-7245895a76fd.jpg,Fage Total Natural Fat Free Greek Recipe Strained Yoghurt 170g,30.8,1.49,170g,Chilled,CS13_200420,0,6,6.19
