additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,248226,,,,,,/bbimages/1/07beffa7-35e9-45be-8c82-cd86aa531210.jpg,,,Carling Original Lager 10 x 440ml,,,,,,,,23.7%,,,,£10.99,10x440m,,,,Ambient,,,,20%,,,,£6.99,
,,,,,,,,,,237228,,,,,,/bbimages/1/a32a91d0-b0d9-4d51-83be-dc62d58e124d.jpg,,,Carling Original Lager 18 x 440ml,,,,,,,,10.0%,,,,£15.99,18x440m,,,,Ambient,,,,20%,,,,£11.99,
,,,,,,,,,,261557,,,,,,/bbimages/1/ae81d8ca-e6b4-4636-98f2-01dbe7cc4a0f.jpg,,,Carling Original Lager 4 x 500ml,,,,,,,,22.3%,,,,£4.99,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£19.39,
,,,,,,,,,,168782,,,,,,/bbimages/1/5f70ddff-159b-4e12-9083-ae015e335ade.jpg,,,Carling Original Lager 4 x 568ml,,,,,,,,30.3%,,,,£5.99,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£20.89,
,,,,,,,,,,234663,,,,,,/bbimages/1/6d857ef8-6cf1-4535-ad02-ea64f4dacf26.jpg,,,Carlsberg Export Lager Beer 4 x 500ml PMP £5.89,,,,,,,,23.6%,,,,£5.89,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£22.49,
,,,,,,,,,,245986,,,,,,/bbimages/1/45b5fc7b-f1c0-4979-9e61-25fe6e2b1cdb.jpg,,,Carlsberg Lager Beer 10 x 330ml PMP £8.79,,,,,,,,20.9%,,,,£8.79,10x330,,,,Ambient,,,,20%,,,"Case of,2",£11.59,
,,,,,,,,,,252324,,,,,,/bbimages/1/647c862b-6d16-46d3-bf6b-3a8a2ceefa7e.jpg,,,Carlsberg Lager Beer 10 x 440ml,,,,,,,,19.3%,,,,£10.99,10x440,,,,Ambient,,,,20%,,,"Case of,2",£14.79,
,,,,,,,,,,232763,,,,,,/bbimages/1/9d497c55-d408-414d-86c9-75086bdf3f3d.jpg,,,Carlsberg Lager Beer 18 x 440ml,,,,,,,,13.1%,,,,£14.49,18x440m,,,,Ambient,,,,20%,,,,£10.49,
,,,,,,,,,,245982,,,,,,/bbimages/1/862b0c1e-1881-4b07-a93e-74d1ebe31484.jpg,,,Carlsberg Special Brew Beer 4 x 500ml,,,,,,,,35.0%,,,,£2.69,500ml,,,,Ambient,,,,20%,,,"Case of,24",£34.99,
,,,,,,,,,,245734,,,,,,/bbimages/1/951d118a-c0dd-49d2-b451-0f8382ebc393.jpg,,,Cobra 4.5% NRB,,,,,,,,30.1%,,,,£2.79,620ml,,,,Ambient,,,,20%,,,"Case of,12",£19.49,
,,,,,,,,,,135560,,,,,,/bbimages/1/ce52debf-915e-4614-952c-53af6bae0196.jpg,,,Coors Light Lager 4 x 500ml,,,,,,,,34.6%,,,,£1.49,500ml,,,,Ambient,,,,20%,,,"Case of,24",£19.49,
,,,,,,,,,,246598,,,,,,/bbimages/1/4efa07b4-055b-44e3-8f01-c4ea292a8088.jpg,,,Coors Light Lager 4 x 568ml,,,,,,,,25.1%,,,,£5.95,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£22.29,
,,,,,,,,,,130543,,,,,,/bbimages/1/071ad5a2-e072-400a-bae6-93e99ae88451.jpg,,,Corona Lager Beer Bottle 710ml,,,,,,,,44.3%,,,,£3.59,710ml,,,,Ambient,,,,20%,,,"Case of,12",£19.99,
,,,,,,,,,,87646,,,,,,/bbimages/1/f31dce31-58c3-4b88-8640-36bb85c84f91.jpg,,,Corona Lager Beer Bottles 12 x 330ml,,,,,,,,12.3%,,,,£12.99,12x330m,,,,Ambient,,,,20%,,,,£9.49,
,,,,,,,,,,121844,,,,,,/bbimages/1/8ef4a521-9689-494d-b179-e4de70c3bd46.jpg,,,Desperados Tequila Lager Beer 3 x 330ml Bottles,,,,,,,,34.0%,,,,£6.25,3x330ml,,,,Ambient,,,,20%,,,"Case of,8",£27.49,
,,,,,,,,,,201424,,,,,,/bbimages/1/3a15ae5c-542e-4b4f-8021-052150041730.jpg,,,Desperados Tequila Lager Beer 4 x 500ml Cans,,,,,,,,32.2%,,,,£1.99,500ml,,,,Ambient,,,,20%,,,"Case of,24",£26.99,
