code,barcode,name,img
83358,7393714515902.0,Kopparberg Premium Cider with Mixed Fruit 500ml,/1/74fcdb14-f64b-4803-b190-6b01c826769f.jpg
163992,7393714367921.0,Kopparberg Premium Cider with Mixed Fruit 330ml,/1/3aeae52a-beec-4b02-af2c-f23e2002d3c4.jpg
248589,7393714515711.0,Kopparberg Premium Cider with Passionfruit 500ml,/1/aaa2ca59-aecb-4968-8bea-ee14ccd2d212.jpg
176178,7393714515407.0,Kopparberg Premium Cider with Raspberry 500ml,/1/8c467940-0659-425c-9a30-2496d5b57ced.jpg
131914,7393714367938.0,Kopparberg Premium Cider with Strawberry & Lime 330ml,/1/6110f929-03fa-4079-8242-e084ebb9fac4.jpg
235252,7393714367846.0,Kopparberg Premium Cider with Strawberry & Lime 330ml,/1/4aa4309d-e29c-4ef0-a28a-6ed363e522d0.jpg
108081,7393714515506.0,Kopparberg Premium Cider Strawberry & Lime 500ml,/1/08b638aa-4392-4bbe-918a-5c4aed1a0e57.jpg
238194,7393714518903.0,Kopparberg Alcohol-Free Premium Cider with Strawberry & Lime 500ml,/1/9f63ffe8-7463-4ed2-b80d-45f117de97d1.jpg
262799,7393714366757.0,Kopparberg Premium Cider Rosé 330ml,/1/e64e75c8-fc14-494f-ab50-7ce9d76132cb.jpg
101187,5391516871143.0,Magners Irish Cider Classic Pear 568ml,/1/eb5aac67-b71a-4add-9f9c-8a96bec455c3.jpg
250244,5391516876124.0,Magners Irish Cider Original Apple 440ml,/1/64edeaf5-173e-4f70-8d68-4ce0b08db560.jpg
249875,5391516876162.0,Magners Irish Cider Original Apple 568ml,/1/1fb08cd1-dddc-4643-beb1-b196751f365b.jpg
99285,5391516870016.0,Magners Original Apple Irish Cider 568ml,/1/553acda1-d03c-4e8f-97a4-767b104faccf.jpg
247226,5391516873833.0,Magners Original Apple Irish Cider 440ml,/1/8015aaba-4508-42b4-80e7-589e3d1a58e6.jpg
241519,5010388202472.0,Merrydown Original Vintage Apple Cider 750ml,/1/433fef51-3c71-4770-afed-87744c85fbd3.jpg
178098,5035766044635.0,Old Mout Cider Berries & Cherries 500ml Bottle,/1/89d79bab-2284-4496-b1f3-1ac66ed6dcf8.jpg
178092,5035766044611.0,Old Mout Cider Kiwi & Lime 500ml Bottle,/1/74948770-f190-4656-ac5b-ed8d7b2cb59b.jpg
194447,5035766046301.0,Old Mout Cider Strawberry & Pomegranate 500ml Bottle,/1/16542b7a-c4d8-4629-b75e-e264738b11ea.jpg
244785,5014201701616.0,Old Rosie The Original Cloudy Cider 500ml,/1/664df085-9c57-48e5-91ad-c01636cd0f5d.jpg
246177,5020379149198.0,Omega White Cider 500ml,/1/8354cefe-414b-451c-93d6-56bf5474a552.jpg
246176,5020379149211.0,Omega White Cider 1 Litre,/1/71ccefdb-eff2-4d3e-8a60-fe06ca8d1d7c.jpg
246174,5020379149259.0,Omega White Cider 2.5 Litre,/1/13816513-d2e8-40dc-851a-79852461adc3.jpg
112369,7311100326406.0,Rekorderlig Premium Swedish Strawberry-Lime Cider 500ml,/1/d98a41b9-7328-426d-8aac-b946c84bbacf.jpg
112368,7311100328004.0,Rekorderlig Premium Swedish Wild Berries Cider 500ml,/1/2f0a0a2f-2aba-4f62-bf2e-472b8757d1e7.jpg
117083,5025268050135.0,Sheppy's 2016 Vintage Reserve Cider 500ml,/1/9c4fdde5-9de7-4dcb-95db-a1322a6af181.jpg
117082,5025268050166.0,Sheppy's Classic Draught Cider 500ml,/1/025f8d28-0621-4013-9896-d1b565873b09.jpg
192034,5014379001150.0,Stella Artois Cidre Cider Cans 500ml,/1/817f9b8c-d95c-4597-ac95-d667efa4a219.jpg
