"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"6","252784","https://media.booker.co.uk/1/3b4c460a-d7e5-4b12-a46b-1735a330c67c.jpg","","","CS13_200460","Frozen"," 109.09"
"","252785","https://media.booker.co.uk/1/3b4c460a-d7e5-4b12-a46b-1735a330c67c.jpg","","","CS13_200460","Frozen"," 18.19"
"6","257876","https://media.booker.co.uk/1/5f3d33b9-eaae-4f77-8427-4a2a117530ea.jpg","","","CS13_200460","Frozen"," 77.89"
"","257877","https://media.booker.co.uk/1/5f3d33b9-eaae-4f77-8427-4a2a117530ea.jpg","","","CS13_200460","Frozen"," 12.99"
"4","257874","https://media.booker.co.uk/1/21ffdfd9-a945-424e-98d5-05cfc9aba278.jpg","","","CS13_200460","Frozen"," 79.89"
"","257875","https://media.booker.co.uk/1/21ffdfd9-a945-424e-98d5-05cfc9aba278.jpg","","","CS13_200460","Frozen"," 19.99"
"10","257539","https://media.booker.co.uk/1/40273451-4ab6-4d07-8432-bb8e360a0753.jpg","","","CS13_200460","Frozen"," 94.89"
"","257602","https://media.booker.co.uk/1/40273451-4ab6-4d07-8432-bb8e360a0753.jpg","","","CS13_200460","Frozen"," 9.49"
"6","139210","https://media.booker.co.uk/1/a8d144f3-fe2c-4690-88ec-c397f891eb08.jpg","21.5","3.29","CS13_200460","Frozen"," 15.49"
"","139213","https://media.booker.co.uk/1/a8d144f3-fe2c-4690-88ec-c397f891eb08.jpg","21.3","3.29","CS13_200460","Frozen"," 2.59"
"6","116457","https://media.booker.co.uk/1/b6337ef6-dd76-4f00-a877-c43a540e81da.jpg","22.9","3.09","CS13_200460","Frozen"," 14.29"
"","116458","https://media.booker.co.uk/1/b6337ef6-dd76-4f00-a877-c43a540e81da.jpg","22.7","3.09","CS13_200460","Frozen"," 2.39"
"6","219357","https://media.booker.co.uk/1/8fe94aee-83db-4de0-8a55-4cf275787ce4.jpg","","","CS13_200460","Frozen"," 113.89"
"","219358","https://media.booker.co.uk/1/8fe94aee-83db-4de0-8a55-4cf275787ce4.jpg","","","CS13_200460","Frozen"," 18.99"
"6","267896","https://media.booker.co.uk/1/5d0304cb-a801-4efa-9d25-9cb61161741c.jpg","","","CS13_200460","Frozen"," 113.89"
"","267897","https://media.booker.co.uk/1/5d0304cb-a801-4efa-9d25-9cb61161741c.jpg","","","CS13_200460","Frozen"," 18.99"
"","275343","https://media.booker.co.uk/1/6ff2d6ea-80ed-4d06-95bd-a5ae86b6f3de.jpg","","","CS13_200460","Frozen"," 18.99"
"","285689","https://media.booker.co.uk/1/b47ddb97-11a4-4ef3-82c1-7f8b28e58ed8.jpg","","","CS13_200450","Frozen"," 10.99"
"2","90789","https://media.booker.co.uk/1/45df17e7-474c-48a5-b5a9-b87edf431ff0.jpg","","","CS13_200450","Frozen"," 46.98"
"","79339","https://media.booker.co.uk/1/45df17e7-474c-48a5-b5a9-b87edf431ff0.jpg","","","CS13_200450","Frozen"," 23.49"
"2","90822","https://media.booker.co.uk/1/4c718d53-f046-405e-aede-8a4cccf00764.jpg","","","CS13_200450","Frozen"," 46.98"
"","79342","https://media.booker.co.uk/1/4c718d53-f046-405e-aede-8a4cccf00764.jpg","","","CS13_200450","Frozen"," 23.49"
"","481374","https://media.booker.co.uk/1/99cac14a-a569-46f3-9109-c59db3de4530.jpg","","","CS13_200450","Frozen"," 13.99"
"","481416","https://media.booker.co.uk/1/c3b28788-5b9c-4c8f-8b70-77394d050d6e.jpg","","","CS13_200450","Frozen"," 13.99"
"4","56241","https://media.booker.co.uk/1/e83e791b-00da-459c-a7b5-a329f42cd2b0.jpg","","","CS13_200450","Frozen"," 33.16"
"","56239","https://media.booker.co.uk/1/e83e791b-00da-459c-a7b5-a329f42cd2b0.jpg","","","CS13_200450","Frozen"," 8.29"
"5","81741","https://media.booker.co.uk/1/cbc3236d-5d6d-456c-ad3e-5b1aa2a37f8e.jpg","","","CS13_200450","Frozen"," 57.45"
"","81731","https://media.booker.co.uk/1/cbc3236d-5d6d-456c-ad3e-5b1aa2a37f8e.jpg","","","CS13_200450","Frozen"," 11.49"
"5","83411","https://media.booker.co.uk/1/0783198d-c34f-409c-9b8f-5dbc0cd54521.jpg","","","CS13_200450","Frozen"," 57.45"
"","83401","https://media.booker.co.uk/1/0783198d-c34f-409c-9b8f-5dbc0cd54521.jpg","","","CS13_200450","Frozen"," 11.49"
"","464339","https://media.booker.co.uk/1/5f2b1bf6-3a24-41da-8521-41c411874ec5.jpg","","","CS13_200450","Frozen"," 17.99"
"2","7170","https://media.booker.co.uk/1/cb18924a-3810-473b-8b01-9aee87d074b6.jpg","","","CS13_200450","Frozen"," 17.99"
"","7180","https://media.booker.co.uk/1/cb18924a-3810-473b-8b01-9aee87d074b6.jpg","","","CS13_200450","Frozen"," 8.99"
