code,sub_cat_name,sub_cat_code
240453,Retail Biscuits,CS13_200070
248395,Retail Biscuits,CS13_200070
530650,Retail Biscuits,CS13_200070
144652,Retail Biscuits,CS13_200070
219586,Retail Biscuits,CS13_200070
258685,Retail Biscuits,CS13_200070
115123,Wafers and Cones,CS13_200090
115122,Wafers and Cones,CS13_200090
224343,Wafers and Cones,CS13_200090
224342,Wafers and Cones,CS13_200090
129348,Wafers and Cones,CS13_200090
129349,Wafers and Cones,CS13_200090
129376,Wafers and Cones,CS13_200090
129377,Wafers and Cones,CS13_200090
129372,Wafers and Cones,CS13_200090
129373,Wafers and Cones,CS13_200090
260078,Wafers and Cones,CS13_200090
129799,Wafers and Cones,CS13_200090
127573,Bread,CS13_200100
205315,Bread,CS13_200100
205316,Bread,CS13_200100
251965,Bread,CS13_200100
127574,Bread,CS13_200100
179567,Bread,CS13_200100
179568,Bread,CS13_200100
35021,Bread,CS13_200100
34971,Bread,CS13_200100
34961,Bread,CS13_200100
34891,Bread,CS13_200100
239745,Bread,CS13_200100
239746,Bread,CS13_200100
35151,Bread,CS13_200100
35041,Bread,CS13_200100
35181,Bread,CS13_200100
35171,Bread,CS13_200100
227104,Bread,CS13_200100
227105,Bread,CS13_200100
227073,Bread,CS13_200100
227075,Bread,CS13_200100
225122,Bread,CS13_200100
225123,Bread,CS13_200100
225109,Bread,CS13_200100
225121,Bread,CS13_200100
233939,Bread,CS13_200100
135878,Bread,CS13_200100
135879,Bread,CS13_200100
135742,Bread,CS13_200100
135743,Bread,CS13_200100
135752,Bread,CS13_200100
135753,Bread,CS13_200100
106426,Bread,CS13_200100
531710,Bread,CS13_200100
106424,Bread,CS13_200100
531690,Bread,CS13_200100
73792,Bread,CS13_200100
73793,Bread,CS13_200100
73794,Bread,CS13_200100
73795,Bread,CS13_200100
185315,Bread,CS13_200100
185316,Bread,CS13_200100
102759,Bread,CS13_200100
102773,Bread,CS13_200100
102777,Bread,CS13_200100
102778,Bread,CS13_200100
102757,Bread,CS13_200100
102758,Bread,CS13_200100
179588,Bread,CS13_200100
179589,Bread,CS13_200100
245184,Bread,CS13_200100
245185,Bread,CS13_200100
249254,Bread,CS13_200100
239769,Bread,CS13_200100
249187,Bread,CS13_200100
239767,Bread,CS13_200100
249256,Bread,CS13_200100
239774,Bread,CS13_200100
362806,Bread,CS13_200100
477638,Bread,CS13_200100
259815,Bread,CS13_200100
259818,Bread,CS13_200100
249744,Bread,CS13_200100
249745,Bread,CS13_200100
229635,Bread,CS13_200100
229636,Bread,CS13_200100
229632,Bread,CS13_200100
229634,Bread,CS13_200100
227076,Bread,CS13_200100
227077,Bread,CS13_200100
191644,Bread,CS13_200100
191645,Bread,CS13_200100
191526,Bread,CS13_200100
191527,Bread,CS13_200100
135745,Bread,CS13_200100
135746,Bread,CS13_200100
253909,Bread,CS13_200100
253910,Bread,CS13_200100
253912,Bread,CS13_200100
253915,Bread,CS13_200100
210173,Bread,CS13_200100
210234,Bread,CS13_200100
127575,Bread,CS13_200100
508671,Bread,CS13_200100
133857,Bread,CS13_200100
133858,Bread,CS13_200100
243236,Bread,CS13_200100
243237,Bread,CS13_200100
258108,Bread,CS13_200100
221793,Bread,CS13_200100
221794,Bread,CS13_200100
215544,Cakes and Tarts,CS13_200110
241566,Cakes and Tarts,CS13_200110
215547,Cakes and Tarts,CS13_200110
241567,Cakes and Tarts,CS13_200110
217141,Cakes and Tarts,CS13_200110
126946,Cakes and Tarts,CS13_200110
187315,Cakes and Tarts,CS13_200110
227256,Cakes and Tarts,CS13_200110
174465,Cakes and Tarts,CS13_200110
174467,Cakes and Tarts,CS13_200110
174509,Cakes and Tarts,CS13_200110
174522,Cakes and Tarts,CS13_200110
174506,Cakes and Tarts,CS13_200110
174507,Cakes and Tarts,CS13_200110
174504,Cakes and Tarts,CS13_200110
174505,Cakes and Tarts,CS13_200110
174523,Cakes and Tarts,CS13_200110
174525,Cakes and Tarts,CS13_200110
174468,Cakes and Tarts,CS13_200110
174469,Cakes and Tarts,CS13_200110
146668,Cakes and Tarts,CS13_200110
124383,Cakes and Tarts,CS13_200110
146669,Cakes and Tarts,CS13_200110
124385,Cakes and Tarts,CS13_200110
157598,Cakes and Tarts,CS13_200110
159578,Cakes and Tarts,CS13_200110
250156,Cakes and Tarts,CS13_200110
250157,Cakes and Tarts,CS13_200110
250158,Cakes and Tarts,CS13_200110
250162,Cakes and Tarts,CS13_200110
205423,Cakes and Tarts,CS13_200110
205424,Cakes and Tarts,CS13_200110
205409,Cakes and Tarts,CS13_200110
205421,Cakes and Tarts,CS13_200110
123126,Cakes and Tarts,CS13_200110
244734,Cakes and Tarts,CS13_200110
244719,Cakes and Tarts,CS13_200110
215548,Cakes and Tarts,CS13_200110
242927,Cakes and Tarts,CS13_200110
123857,Cakes and Tarts,CS13_200110
786368,Cakes and Tarts,CS13_200110
123856,Cakes and Tarts,CS13_200110
786301,Cakes and Tarts,CS13_200110
259086,Cakes and Tarts,CS13_200110
259084,Cakes and Tarts,CS13_200110
259089,Cakes and Tarts,CS13_200110
259088,Cakes and Tarts,CS13_200110
