BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
821173,"Walkers Cheese & Onion Grab Bag Crisps 50g,Ambient,Add to List",,,,"Case of,32",£13.69,
201623,"Walkers Prawn Cocktail Crisps 32.5g,Ambient,Add to List",,,,"Case of,32",£11.59,
243127,"Walkers Prawn Cocktail Crisps 65p PMP 32.5g,Ambient,Add to List",,,,"Case of,32",£10.75,
201660,"Walkers Quavers Cheese Snacks 20g,Ambient,Add to List",,,,"Case of,32",£11.59,
243129,"Walkers Ready Salted Crisps 65p PMP 32.5g,Ambient,Add to List",,,,"Case of,32",£10.75,
820860,"Walkers Ready Salted Grab Bag Crisps 50g,Ambient,Add to List",,,,"Case of,32",£13.69,
201629,"Walkers Roast Chicken Crisps 32.5g,Ambient,Add to List",,,,"Case of,32",£11.59,
213648,"Maynards Bassetts Wine Gums £1 Sweets Bag 165g,Ambient,Add to List",,,,"Case of,12",£5.99,
90727,"HARIBO Giant Strawbs 1056g,Ambient,Add to List",,,,"Case of,6",£20.35,
90728,"HARIBO Giant Strawbs 1056g,Ambient,Add to List",,,,,£3.39,
457180,"HARIBO Starmix Bag 16g,Ambient,Add to List",,,,"Case of,100",£7.99,
343601,"HARIBO Supermix Minis Treat Size 16g,Ambient,Add to List",,,,"Case of,100",£7.99,
972530,"HARIBO Tangfastics Bag 16g,Ambient,Add to List",,,,"Case of,100",£7.99,
237627,"Awaiting image,Ambient,Add to List",,,,,£5.19,
190899,"Tuck Shop Flying Saucers 375g,Ambient,Add to List",,,,,£4.79,
870337,"Chewits Blackcurrant Flavour 30g,Prices Down,Ambient,Add to List",,,,"Case of,40",£7.49,Normal WSP: £10.29 Now £7.49 SAVE £2.80
108145,"Chewits Cola Flavour 30g,Prices Down,Ambient,Add to List",,,,"Case of,40",£7.49,Normal WSP: £10.29 Now £7.49 SAVE £2.80
870188,"Chewits Fruit Salad Flavour 30g,Prices Down,Ambient,Add to List",,,,"Case of,40",£7.49,Normal WSP: £10.29 Now £7.49 SAVE £2.80
140242,"Chewits Strawberry Flavour 30g,Prices Down,Ambient,Add to List",,,,"Case of,40",£7.49,Normal WSP: £10.29 Now £7.49 SAVE £2.80
101573,"Chewits Xtreme Extremely Sour Apple Chews 34g,Ambient,Add to List",,,,"Case of,24",£6.19,
47767,"Chewits Xtreme Sour Tutti Frutti Chews 34g,Ambient,Add to List",,,,"Case of,24",£6.19,
248069,"Awaiting image,Prices Down,Ambient,Add to List",,,,"Case of,20",£4.49,Normal WSP: £4.99 Now £4.49 SAVE £0.50
248065,"Awaiting image,Prices Down,Ambient,Add to List",,,,"Case of,20",£4.49,Normal WSP: £4.99 Now £4.49 SAVE £0.50
248067,"Bebeto Watermelon Jelly Gum 70g,Prices Down,Ambient,Add to List",,,,"Case of,20",£4.49,Normal WSP: £4.99 Now £4.49 SAVE £0.50
264821,"Chupa Chups Fruit Lollipops 120 Units 1440g,Prices Down,Ambient,Add to List",,,,"Case of,6",£59.94,Normal WSP: £77.99 Now £59.94 SAVE £18.05
264811,"Chupa Chups Fruit Lollipops 120 Units 1440g,Prices Down,Ambient,Add to List",,,,,£9.99,Normal WSP: £12.99 Now £9.99 SAVE £3.00
153881,"Chupa Chups The Best of 120 Assorted Flavour Lollipops 1440g,Prices Down,Ambient,Add to List",,,,,£9.99,Normal WSP: £12.99 Now £9.99 SAVE £3.00
237928,"Skittles Chewies Fruits Sweets Treat Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
193603,"Skittles Crazy Sours Sweets Treat Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
145569,"Skittles Fruits Sweets Treat Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
256978,"Skittles Giants Fruit Sweets Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
199564,"Skittles Tropical Sweets Treat Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
234588,"Starburst Fave Reds Fruit Chews Sweets Treat Bag 141g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
237939,"Starburst Minis Original Sweets Treat Bag 125g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
234602,"Starburst Original Fruit Chews Sweets Treat Bag 141g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
234589,"Starburst Very Berry Fruit Chews Sweets Treat Bag 141g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.99 Now £5.99 SAVE £2.00
231689,"Swizzels Drumstick Choos 135g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
217122,"Swizzels Drumstick Squashies Bubblegum 145g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
142595,"Swizzels Drumstick Squashies Original Raspberry and Milk 145g,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
120525,"Swizzels Loadsa Chews,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
120529,"Swizzels Loadsa Lollies,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
120507,"Swizzels Loadsa Sweets,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
192444,"Swizzels Party Treats,Prices Down,Ambient,Add to List",,,,,£11.99,Normal WSP: £14.99 Now £11.99 SAVE £3.00
231703,"Swrizzels Refreshers Choos,Prices Down,Ambient,Add to List",,,,"Case of,12",£5.99,Normal WSP: £7.49 Now £5.99 SAVE £1.50
264141,"Vimto Chewy Sweets 30g,Prices Down,Ambient,Add to List",,,,"Case of,40",£7.49,Normal WSP: £10.29 Now £7.49 SAVE £2.80
124843,"Barratt Chewy Nougat 35g,Ambient,Add to List",,,,"Case of,40",£10.99,
188481,"Barratt Dip Dab 23g,Ambient,Add to List",,,,"Case of,50",£13.09,
254488,"Barratt Dipdab Softies 120g,Ambient,Add to List",,,,"Case of,12",£6.99,
260834,"Barratt Flumps 20g,Ambient,Add to List",,,,"Case of,50",£6.99,
206749,"Barratt Fruit Salad Softies 120g,Ambient,Add to List",,,,"Case of,12",£6.99,
125783,"Awaiting image,Ambient,Add to List",,,,"Case of,12",£6.99,
91282,"Barratt Refreshers 34g,Ambient,Add to List",,,,"Case of,48",£12.49,
206752,"Barratt Refreshers Softies 120g,Ambient,Add to List",,,,"Case of,12",£6.99,
173777,"Barratt Sherbet Fountain 25g,Ambient,Add to List",,,,"Case of,30",£7.69,
90651,"Brain Licker Raspberry Candy Drink 60ml,Ambient,Add to List",,,,"Case of,12",£6.29,
262831,"Awaiting image,Ambient,Add to List",,,,,£6.75,
145266,"Crazy Candy Factory Bubble Rubblez Fruit Flavour Bubble Gum Nuggets 12 x 60g,Ambient,Add to List",,,,"Case of,12",£6.79,
96288,"Fizz Wiz Popping Candy Cola Flavour 5g,Ambient,Add to List",,,,"Case of,50",£6.19,
96286,"Fizz Wiz Popping Candy Strawberry Flavour 5g,Ambient,Add to List",,,,"Case of,50",£6.19,
85137,"Chef's Larder 100 Large Insulated Food Boxes HP4,Cheaper By The Case,Ambient,Add to List",,,,"Case of,2",£20.99,
85138,"Chef's Larder 100 Large Insulated Food Boxes HP4,Cheaper By The Case,Ambient,Add to List",,,,,£14.99,
204379,"Chef's Larder 125 Insulated Burger/Fish & Chip Boxes TT10/35,Cheaper By The Case,Ambient,Add to List",,,,"Case of,4",£28.99,
204392,"Chef's Larder 125 Insulated Burger/Fish & Chip Boxes TT10/35,Cheaper By The Case,Ambient,Add to List",,,,,£11.99,
539480,"Chef's Larder 14 Square Foil Trays with Lids 241mm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£59.99,
539490,"Chef's Larder 14 Square Foil Trays with Lids 241mm,Cheaper By The Case,Ambient,Add to List",,,,,£11.49,
57254,"Chef's Larder 55 Small Oblong Foil Trays with Lids 141mm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,16",£94.99,
57253,"Chef's Larder 55 Small Oblong Foil Trays with Lids 141mm,Cheaper By The Case,Ambient,Add to List",,,,,£7.49,
156665,"Compost Me 36 Large Brown Food Boxes,Cheaper By The Case,Ambient,Add to List",,,,"Case of,5",£44.99,
156666,"Compost Me 36 Large Brown Food Boxes,Cheaper By The Case,Ambient,Add to List",,,,,£10.79,
227289,"Edenware Bagasse Burger Box 6"" x 6"" 50 Pieces,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£33.99,
227292,"Edenware Bagasse Burger Box 6"" x 6"" 50 Pieces,Cheaper By The Case,Ambient,Add to List",,,,,£5.29,
227357,"Edenware Bagasse Large Meal Box 9"" x 6"" 50 Pieces,Cheaper By The Case,Ambient,Add to List",,,,"Case of,4",£27.99,
227358,"Edenware Bagasse Large Meal Box 9"" x 6"" 50 Pieces,Cheaper By The Case,Ambient,Add to List",,,,,£8.29,
139085,"Smart Choice C500 Plastic Tubs Microwave Safe Containers & Lids 250 Sets,Ambient,Add to List",,,,,£18.99,
260175,"Chef's Larder 14 Square Foil Trays with Lids 241mm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£59.99,
